iter	Passed	Remaining
0	1	164
1	3	152
2	4	142
3	5	134
4	7	133
5	8	138
6	10	138
7	12	139
8	13	136
9	14	133
10	16	131
11	17	129
12	19	127
13	20	125
14	21	123
15	23	123
16	24	121
17	26	121
18	28	120
19	29	118
20	31	117
21	33	117
22	34	115
23	35	113
24	37	112
25	38	110
26	40	109
27	42	108
28	43	106
29	45	105
30	46	103
31	48	102
32	49	100
33	50	98
34	52	97
35	54	96
36	56	95
37	57	94
38	59	92
39	60	91
40	62	89
41	62	86
42	64	85
43	66	84
44	67	82
45	69	81
46	70	79
47	71	77
48	73	76
49	74	74
50	76	73
51	77	71
52	79	70
53	80	68
54	81	66
55	82	65
56	84	63
57	85	62
58	87	60
59	89	59
60	90	57
61	92	56
62	93	55
63	95	53
64	96	52
65	98	50
66	99	49
67	101	47
68	102	46
69	104	44
70	105	43
71	107	41
72	108	40
73	110	38
74	111	37
75	113	35
76	114	34
77	116	32
78	117	31
79	119	29
80	121	28
81	123	27
82	124	25
83	126	24
84	128	22
85	130	21
86	131	19
87	133	18
88	134	16
89	135	15
90	137	13
91	138	12
92	140	10
93	141	9
94	142	7
95	144	6
96	145	4
97	147	3
98	148	1
99	149	0
